Website,Status,Contact,Apache,PHP,WooCommerce,WordPress,Windows Server,IIS,Microsoft ASP NET,Shopify,jQuery Mobile,Font Awesome,Google AdSense
http://www.I-Am-Bender.Com,avaliable,"['abuse@1and1.com', 'privacy@1and1.com']",Yes,Yes,No,Yes,No,No,No,No,No,Yes,No
http://www.I-Awake.Net,avaliable,"['abuse@gmo.jp', 'whoisproxy@value-domain.com']",Yes,Yes,No,Yes,No,No,No,No,No,Yes,No
http://www.I-C-R.Com,avaliable,"['abuse@NameBright.com', 'domains@hugedomains.com']",No,No,No,No,Yes,Yes,No,No,No,No,No
http://www.I-Cf.Com,avaliable,"['abuse@NameBright.com', 'domains@hugedomains.com']",No,No,No,No,Yes,Yes,No,No,No,No,No
http://www.I-Cheacademy.Com,avaliable,"['abuse-contact@publicdomainregistry.com', 'yakbohk@gmail.com']",Yes,No,No,No,No,No,No,No,No,No,No
http://www.I-Components.Net,avaliable,"['domain@cndns.com', 'dsgss2@126.com']",No,No,No,No,No,No,No,No,No,No,No
http://www.I-Concept-Solutions.Com,avaliable,"['abuse@strato.de', 'fraguela@medicus-recruiting.com', 'hostmaster@cronon-isp.net']",Yes,No,No,No,No,No,No,No,No,No,No
http://www.I-Concept-Solutions.Net,avaliable,"['abuse@strato.de', 'fraguela@medicus-recruiting.com', 'hostmaster@cronon-isp.net']",Yes,No,No,No,No,No,No,No,No,No,No
http://www.I-Concept-Solutions.Org,avaliable,"['fraguela@medicus-recruiting.com', 'hostmaster@cronon-isp.net']",Yes,No,No,No,No,No,No,No,No,No,No
http://www.I-Hype.Com,avaliable,"['abuse@NameBright.com', 'domains@hugedomains.com']",No,No,No,No,Yes,Yes,No,No,No,No,No
http://www.I-Icloud-Id.Com,avaliable,"['abuse@namesilo.com', 'pw-08c5cdba7733bc6afd978344192e60c2@privacyguardian.org']",Yes,Yes,No,No,No,No,No,No,No,No,No
http://www.I-Loansgo.Com,avaliable,"['abuse@freenom.com', 'cb80d2e208d73bf4.shielded@idshield.tk']",No,Yes,No,Yes,No,No,No,No,No,No,No
http://www.I-Mikkai.Com,avaliable,"['abuse@gmo.jp', 'whoisproxy@value-domain.com']",Yes,Yes,No,No,No,No,No,No,No,No,No
http://www.I-N-S-U-R-E-D.Com,avaliable,"['compliance@domain-inc.net', 'petermeilahn@yahoo.com', 'support@domain-inc.net']",No,No,No,No,No,No,No,No,No,No,No
http://www.I-Phone-Technical.Com,avaliable,"['domainabuse@tucows.com', 'tarmi_13@hotmail.com', 'domains@arvixe.com']",Yes,No,No,No,No,No,No,No,No,No,No
http://www.I-Reparatur.Com,avaliable,"['abuse@strato.de', 'info@i-repair.eu', 'hostmaster@cronon-isp.net']",Yes,No,No,No,No,No,No,No,No,No,No
http://www.I-Reparatur.Info,avaliable,"['info@i-repair.eu', 'hostmaster@cronon-isp.net']",Yes,No,No,No,No,No,No,No,No,No,No
http://www.I-Sitt.Org,avaliable,"['owner@i-sitt.org.whoisprivacyservice.org', 'admin@i-sitt.org.whoisprivacyservice.org', 'tech@i-sitt.org.whoisprivacyservice.org']",Yes,No,No,No,No,No,No,No,No,No,No
http://www.I-Web.Design,avaliable,Nothing,Yes,Yes,No,No,No,No,No,No,No,No,No
http://www.I3-Firstclass.Com,avaliable,Nothing,No,No,No,No,No,No,No,No,No,No,No
http://www.I3Ajjcrq.Com,avaliable,"['abuse@gmo.jp', 'domain_get0721@yahoo.co.jp']",Yes,No,No,No,No,No,No,No,No,No,No
http://www.I4Detail.Biz,avaliable,Nothing,Yes,No,No,No,No,No,No,No,No,No,No
http://www.I4Einfotech.Com,avaliable,"['domains@automattic.com', 'i4einfotech.com@privatewho.is', 'help@wordpress.com']",No,Yes,No,Yes,No,No,No,No,No,No,No
http://www.I4Maintenance.Com,avaliable,"['abuse@bizcn.com', 'dsajfjsdfglkjlr@163.com']",No,Yes,No,No,No,No,No,No,No,No,No
http://www.I4Scale.Com,avaliable,Nothing,Yes,No,No,No,No,No,No,No,No,No,No
http://www.I4Scale.Info,avaliable,"['daniel.lemberger@e-ibo.de', 'hostmaster@1und1.de']",Yes,No,No,No,No,No,No,No,No,No,No
http://www.I513Vpn.Com,avaliable,"['abuse@NameBright.com', 'hfg22112233@gmail.com']",No,No,No,No,Yes,Yes,No,No,No,No,No
http://www.I5Mobile.Com,avaliable,"['supervision@xinnet.com', 'wanguanyule01@163.com']",No,No,No,No,No,No,No,No,No,No,No
