Website,Status,Contact,Apache,PHP,WooCommerce,WordPress,Windows Server,IIS,Microsoft ASP NET,Shopify,jQuery Mobile,Font Awesome,Google AdSense
http://www.G-Fur.Com,avaliable,"['contact@privacyprotect.org', 'abuse@websitewelcome.com']",Yes,No,No,No,No,No,No,No,No,No,No
http://www.G-Fur.Net,avaliable,"['contact@privacyprotect.org', 'abuse@websitewelcome.com']",Yes,No,No,No,No,No,No,No,No,No,No
http://www.G-Play.Net,avaliable,"['abuse@internet.bs', 'g-play.net-owner-1zyx@customers.whoisprivacycorp.com', 'g-play.net-admin-cs4q@customers.whoisprivacycorp.com', 'g-play.net-tech-2sqe@customers.whoisprivacycorp.com']",No,Yes,No,No,No,No,No,No,No,No,No
http://www.G-Sophro.Com,avaliable,"['domain-abuse@psi-usa.info', 'albertrodrigues@free.fr', 'hostmaster@jimdo.de']",No,No,No,No,No,No,No,No,No,No,No
http://www.G-Technik.Org,avaliable,"['abuse@1and1.com', 'guck@onlinehome.de', 'hostmaster@1und1.de']",Yes,No,No,No,No,No,No,No,No,No,No
http://www.G-Touring.Com,avaliable,"['abuse@authenticweb.com', 'domains@gadventures.com', 'admin+gadHRS@authenticweb.com']",No,Yes,No,Yes,No,No,No,No,No,No,No
http://www.G-View.Info,avaliable,"['g-view.info@wix-domains.com', 'support@wix.com']",No,No,No,No,No,No,No,No,No,No,No
http://www.G0Ctoq.Info,avaliable,"['abuse@namecheap.com', '6122dfbc85b74a9fbcd8f89f4ab66369.protect@whoisguard.com']",No,No,No,No,No,No,No,No,No,No,No
http://www.G0Y8.Com,avaliable,"['abuse@onlinenic.com', 'onlinenic-enduser@onlinenic.com', 'jjjlk33@hxmail.com']",No,Yes,No,No,Yes,Yes,No,No,No,No,No
http://www.G0Z6.Com,avaliable,"['abuse@onlinenic.com', 'onlinenic-enduser@onlinenic.com', 'jjjlk33@hxmail.com']",No,Yes,No,No,Yes,Yes,No,No,No,No,No
http://www.G1W2.Com,avaliable,"['abuse@onlinenic.com', 'onlinenic-enduser@onlinenic.com', 'jjjlk33@hxmail.com']",No,Yes,No,No,Yes,Yes,No,No,No,No,No
