Website,Status,Contact,Apache,PHP,WooCommerce,WordPress,Windows Server,IIS,Microsoft ASP NET,Shopify,jQuery Mobile,Font Awesome,Google AdSense
http://www.Y0Z.Online,avaliable,Nothing,No,No,No,No,No,No,No,No,No,No,No
http://www.Y13580.Com,avaliable,"['supervision@xinnet.com', 'whoisprotect@dnspod.com']",No,Yes,No,Yes,No,No,No,No,No,No,No
http://www.Y1531065.Com,avaliable,"['abuse@1api.net', '903817777@qq.com']",No,No,No,No,No,No,No,No,No,No,No
http://www.Y3V3.Com,avaliable,"['supervision@xinnet.com', 'cg998000@gmail.com']",No,Yes,No,No,Yes,Yes,No,No,No,No,No
http://www.Y4G7.Com,avaliable,"['supervision@xinnet.com', 'cg998000@gmail.com']",No,Yes,No,No,Yes,Yes,No,No,No,No,No
http://www.Y6558.Com,avaliable,abuse@godaddy.com,No,No,No,No,Yes,Yes,No,No,No,No,No
http://www.Y6Fh7Qnn.Com,avaliable,"['abuse@1and1.com', 'uncusanthro@hotmail.com', 'hostmaster@1and1.com']",No,No,No,No,No,No,No,No,No,No,No
http://www.Y90000.Com,avaliable,"['DomainAbuse@service.aliyun.com', 'YuMing@YinSiBaoHu.AliYun.com']",No,Yes,No,No,Yes,Yes,No,No,No,Yes,No
http://www.Ya-Yaofficial.Com,avaliable,Nothing,No,No,No,No,No,No,No,No,No,No,No
http://www.Yaagdharmiksanstha.Com,avaliable,"['abuse-contact@publicdomainregistry.com', 'kedarnjoshi1@gmail.com']",Yes,Yes,No,No,No,No,No,No,No,Yes,No
http://www.Yaay1.Org,avaliable,"['abuse@web.com', 'yaay1.org@wix-domains.com']",No,No,No,No,No,No,No,No,No,No,No
http://www.Yabanciiddaasiteleri.Net,avaliable,"['abuse@namecheap.com', '6210b1caaee64575a00beec27f9bb880.protect@whoisguard.com']",Yes,Yes,No,Yes,No,No,No,No,No,Yes,No
http://www.Yabc1.Org,avaliable,"['abuse@godaddy.com', 'yabc1.org@domainsbyproxy.com']",No,No,No,No,Yes,Yes,No,No,No,No,No
http://www.Yabekaikei.Net,avaliable,"['abuse@gmo.jp', 'privacy@whoisprivacyprotection.info']",Yes,Yes,No,Yes,No,No,No,No,No,No,No
http://www.Yaca35.Party,avaliable,Nothing,No,No,No,No,No,No,No,No,No,No,No
http://www.Yaccaz.Com,avaliable,"['abuse@bookmyname.com', 'abuse_2017+yaccaz.com_176.27.166.89@bookmyname.com', 'xpssportconcept.949163@spamfree.bookmyname.com', 'clients@easy-hebergement.fr']",Yes,Yes,No,No,No,No,No,No,No,No,No
http://www.Yachtiesblogs.Com,avaliable,"['abuse@gmo.jp', 'onamae@value-domain.com']",Yes,Yes,No,No,No,No,No,No,No,No,No
http://www.Yachts36.Com,avaliable,abuse@web.com,Yes,No,No,No,No,No,No,No,No,No,No
http://www.Yaci.Tech,avaliable,"['3331588188@qq.com', 'abuse@west263.com']",Yes,Yes,No,No,No,No,No,No,No,No,No
http://www.Yadadushdu.Org,avaliable,"['abuse@godaddy.com', 'azeridesigner@gmail.com']",Yes,Yes,No,No,No,No,No,No,No,No,No
http://www.Yadamnright.Com,avaliable,"['abuse@namesilo.com', 'pw-fb749074aea943fddd2a3fa0c63c1e05@privacyguardian.org']",No,No,No,No,No,No,No,No,No,Yes,No
http://www.Yadepafrica.Org,avaliable,"['abuse-contact@publicdomainregistry.com', 'oparaprince@gmx.us']",Yes,No,No,No,No,No,No,No,No,No,No
http://www.Yadipepibig.Com,avaliable,"['abuse@1and1.com', 'kendalyreaak@mail.ru', 'hostmaster@1and1.com']",Yes,No,No,No,No,No,No,No,No,No,No
http://www.Yagabond.Com,avaliable,"['abuse@hetzner.de', 'christina.schweizer@hotmail.de', 'info@hetzner.de']",Yes,Yes,No,Yes,No,No,No,No,No,No,No
http://www.Yagizaltyapi.Com,avaliable,"['abuse@domaintime.biz', '4498834@whoisprotection.biz']",No,No,No,No,Yes,Yes,No,No,No,No,No
http://www.Yagodki.Com,avaliable,"['abuse@NameBright.com', 'domains@hugedomains.com']",No,No,No,No,Yes,Yes,No,No,No,No,No
http://www.Yahelwaresto.Com,avaliable,"['abuse@rumahweb.co.id', 'noreply@domaindataguard.com']",No,No,No,No,No,No,No,No,No,Yes,No
http://www.Yahuten.Com,avaliable,"['abuse@namesilo.com', 'pw-0355f77a0d62e79b97c7866e79b8c6d7@privacyguardian.org']",Yes,Yes,No,No,No,No,No,No,No,Yes,No
http://www.Yahyasmith.Com,avaliable,"['abuse@namecheap.com', 'f27aa7e1429945f7afe05afead2b0c07.protect@whoisguard.com']",No,No,No,No,No,No,No,No,No,No,No
http://www.Yahycw.Com,avaliable,"['supervision@xinnet.com', '61892253@qq.com']",No,No,No,No,Yes,Yes,No,No,No,No,No
http://www.Yairkalevmusic.Com,avaliable,"['registrar-abuse@google.com', 'r7uetu5hjuog@contactprivacy.email']",No,Yes,No,Yes,No,No,No,No,No,No,No
http://www.Yaji24.Party,avaliable,Nothing,No,No,No,No,No,No,No,No,No,No,No
http://www.Yajuflyer.Com,avaliable,"['abuse@gmo.jp', 'proxy@whoisprotectservice.com']",Yes,Yes,No,No,No,No,No,No,No,No,No
http://www.Yakamoztakip.Com,avaliable,"['abuse-domains@cronon.net', 'abuse@strato.de', 'kaanyararr@gmail.com', 'hostmaster@cronon-isp.net']",Yes,No,No,No,No,No,No,No,No,No,No
http://www.Yaki-Anago.Com,avaliable,"['gtld-abuse@jprs.jp', 'nic-staff@sakura.ad.jp']",Yes,No,No,No,No,No,No,No,No,No,No
http://www.Yakimainterpreting.Org,avaliable,"['abuse@godaddy.com', 'alphabetainterpreting@gmail.com']",No,No,No,No,Yes,Yes,No,No,No,No,No
http://www.Yakntroll.Com,avaliable,Nothing,No,No,No,No,No,No,No,Yes,No,No,No
http://www.Yakubaros.Org,avaliable,"['abuse@reg.ru', 'pupiva@mail.ru']",No,No,No,No,No,No,No,No,No,No,No
http://www.Yal888.Com,avaliable,"['abuse-contact@publicdomainregistry.com', '2907058038@qq.com']",No,No,No,No,No,No,No,No,No,No,No
http://www.Yaldamarket.Info,avaliable,user27171@talahost.net,No,No,No,No,No,No,No,No,No,No,No
http://www.Yalineo.Com,avaliable,"['abuse@ovh.net', 'k.nguyen@bmi-system.com', 'karelle@comquest.fr']",No,No,No,No,No,No,No,No,No,No,No
http://www.Yallcanallkissmyass.Net,avaliable,abuse@godaddy.com,No,No,No,No,Yes,Yes,No,No,No,No,No
http://www.Yalldigin.Com,avaliable,"['abuse@bluehost.com', 'WHOIS@BLUEHOST.COM']",No,No,No,No,No,No,No,No,No,No,No
http://www.Yamac61.Com,avaliable,"['abuse@united-domains.de', 'ziyamackali@me.com', 'hostmaster@alfahosting.de']",Yes,No,No,No,No,No,No,No,No,Yes,No
http://www.Yamagataken.Net,avaliable,"['registrar-abuse@netowl.jp', 'whois@netowl.jp']",Yes,Yes,No,Yes,No,No,No,No,No,No,No
http://www.Yamamotojimusyo.Com,avaliable,"['gtld-abuse@jprs.jp', 'nic-staff@sakura.ad.jp']",Yes,Yes,No,Yes,No,No,No,No,No,Yes,No
http://www.Yamanashi-Candy.Com,avaliable,"['abuse@gmo.jp', 'privacy@whoisprivacyprotection.info']",Yes,No,No,No,No,No,No,No,No,No,No
http://www.Yamaninstitute.Com,avaliable,"['abuse-contact@publicdomainregistry.com', 'subhash675@gmail.com']",Yes,Yes,No,Yes,No,No,No,No,No,Yes,No
http://www.Yamassages.Com,avaliable,"['abuse@NameBright.com', 'domains@hugedomains.com']",No,No,No,No,Yes,Yes,No,No,No,No,No
http://www.Yamato2202-Journey.Com,avaliable,"['abuse@gmo.jp', 'proxy@whoisprotectservice.com']",Yes,Yes,No,No,No,No,No,No,No,No,No
